S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
1089,Chandigarh Ut,Chandigarh,Burail,76.7592,30.7101,2023,8.05,870,0,439,57,1.27,24,1,0.1,240,56,24,106,9,0.02,2.13,1.93
1090,Chandigarh Ut,Chandigarh,Imd Sector 39,76.731,30.74,2023,8.18,229,0,61,36,0.45,19,2,0,110,24,12,6,2,0.01,1.9,2.08
1091,Chandigarh Ut,Chandigarh,Maloya,76.7182,30.7519,2023,7.92,679,0,293,57,0.96,5,6,0,230,32,36,49,2,0.31,0.28,0.76
1092,Chandigarh Ut,Chandigarh,New Karsan Colony,76.7929,30.6928,2023,7.77,520,0,293,14,0.97,14,3,0,180,52,12,48,3,0.02,0.23,3.45
1093,Chandigarh Ut,Chandigarh,Sector 10C,76.794,30.755,2023,7.74,285,0,110,36,0.56,14,2,0,145,24,21,6,2,0.02,0.51,1.77
1094,Chandigarh Ut,Chandigarh,Sector 31,76.7759,30.7036,2023,7.78,700,0,354,43,0.93,19,9,0,270,24,51,52,3,0.03,0.2,6.27
1095,Chandigarh Ut,Chandigarh,Sector 39-D,76.728,30.743,2023,7.57,621,0,281,43,0.92,10,18,0,270,40,41,25,1,0.3,0.14,8.41
1096,Chandigarh Ut,Chandigarh,Sector-46,76.769,30.703,2023,8.25,270,0,122,21,0.5,10,3,0,130,28,15,6,2,0.01,1.76,2.3
2700,Jammu & Kashmir,Reasi,Aliyah,74.553,33.165,2023,7.35,720,0,522,7,0.22,12,7,0.22,424,146,15,7,1,-0.04,0.23,1.15
2701,Jammu & Kashmir,Reasi,Bhambla,74.5771,33.0519,2023,7.1,1230,0,638,99,0.28,54,6,0,556,194,17,88,2,-0.03,0.42,4.39
2702,Jammu & Kashmir,Reasi,Dadua,74.6397,33.0716,2023,7.42,690,0,443,20,0.2,16,8,0,379,128,15,13,1,-0.04,0.15,1.6
2703,Jammu & Kashmir,Reasi,Garan Jagir,74.6489,33.0709,2023,7.44,750,0,510,12,0.29,17,7,0,404,132,18,20,1,-0.04,0.14,3.68
2704,Jammu & Kashmir,Reasi,Nanora,74.6311,33.1281,2023,7.38,720,0,504,12,0.22,20,0,0,399,119,24,15,8,-0.04,0.65,1.9
2705,Jammu & Kashmir,Baramulla,Binner,74.3553,34.2319,2023,7.46,520,0,331,7,0.18,9,5,0,246,60,23,20,1,0.44,5.76,0.01
2706,Jammu & Kashmir,Baramulla,Jambazpora,74.3633,34.2192,2023,7.33,687,0,397,25,0.41,15,4,0,307,91,18,31,1,-0.01,0.83,0.51
2707,Jammu & Kashmir,Baramulla,Uplna,74.3975,34.2008,2023,7.31,1290,0,546,65,0.34,51,139,0,569,185,27,55,14,-0.02,0.54,1.79
2708,Jammu & Kashmir,Baramulla,Lolipora,74.5364,34.2164,2023,7.06,1655,0,419,274,0.33,126,25,0,663,199,41,109,5,-0.01,0.41,4.07
2709,Jammu & Kashmir,Baramulla,Hadipora,74.3908,34.2914,2023,6.75,826,0,196,112,0.16,48,37,0,318,96,19,43,2,-0.02,0.56,0.25
2710,Jammu & Kashmir,Baramulla,Mazbugh,74.4294,34.2781,2023,7.02,863,0,510,35,0.18,20,6,0,420,127,26,33,3,0.01,1.65,2.05
2711,Jammu & Kashmir,Baramulla,Said Pora,74.4631,34.3211,2023,7.03,468,0,231,28,0.1,19,4,0,220,64,15,13,1,-0.02,0.16,0.28
2712,Jammu & Kashmir,Baramulla,Bomai,74.4213,34.3564,2023,6.78,594,0,395,8,0.22,4,3,0,285,81,21,18,4,25.28,51.37,0.23
2713,Jammu & Kashmir,Baramulla,Badran,74.5764,34.0931,2023,7.13,346,0,210,8,0.16,9,3,0,171,54,9,8,1,1.84,0.13,0.17
2714,Jammu & Kashmir,Baramulla,Waripora,74.5611,34.0906,2023,7.6,652,0,389,28,0.36,11,3,0,322,112,11,15,2,6.59,0.39,1.12
2715,Jammu & Kashmir,Handwara,Hampora,74.3272,34.3564,2023,7.18,612,0,425,5,0.12,5,6,0.84,312,91,22,19,1,-0.03,6.87,0.01
2716,Jammu & Kashmir,Jammu,Chowki Chora,74.6515,33.0224,2023,7.27,490,0,261,20,0.23,39,6,0.37,222,75,9,21,10,-0.04,2.55,1.29
